user_id,session_id,timestamp,interaction_type,query_length,response_time,user_rating,error_occurred,industry,location,subscription_level
1,153,2/1/2024 17:51,feedback,90,2.228192576,1,FALSE,education,"North Laurafort, Djibouti",premium
2,153,5/11/2024 3:48,feedback,90,2.902167797,3,TRUE,healthcare,"West Sarah, Belgium",enterprise
3,103,5/6/2024 11:17,error,27,2.212646189,1,FALSE,finance,"Jonathonstad, Costa Rica",premium
4,147,8/8/2024 16:32,error,33,1.090334566,2,TRUE,education,"Hensonview, Montserrat",enterprise
5,148,7/4/2024 14:45,query,89,2.744270526,4,FALSE,finance,"Salazarport, Indonesia",enterprise
6,169,3/4/2024 6:16,error,34,2.512694758,1,TRUE,healthcare,"Schmittfurt, Austria",free
7,112,6/15/2024 6:40,error,30,2.120755172,3,TRUE,finance,"Kathleenchester, Ukraine",free
8,116,8/24/2024 0:52,feedback,37,1.225580199,1,TRUE,education,"North Ericachester, Myanmar",free
9,162,2/2/2024 13:27,feedback,81,2.186585227,5,FALSE,education,"South Allisonfort, Kyrgyz Republic",free
10,106,3/15/2024 1:48,query,37,2.149226113,3,FALSE,finance,"Browntown, Rwanda",enterprise
11,102,7/27/2024 15:46,feedback,84,2.649271486,3,TRUE,education,"Martinezberg, Malta",free
12,174,5/25/2024 9:53,error,79,2.562093406,1,TRUE,finance,"Evansport, Latvia",enterprise
13,111,1/29/2024 7:27,error,81,1.119716812,5,TRUE,healthcare,"East Gregory, Belarus",enterprise
14,108,3/14/2024 7:00,query,92,1.302725796,3,TRUE,healthcare,"Christophertown, Central African Republic",premium
15,146,4/5/2024 15:46,feedback,62,2.163284043,5,TRUE,education,"Lake Erik, Saint Barthelemy",premium
16,175,8/4/2024 17:51,error,16,1.226718755,1,TRUE,finance,"Andersonstad, Paraguay",free
17,118,7/8/2024 3:58,feedback,55,1.068557643,2,TRUE,education,"Port Daniellehaven, Dominican Republic",premium
18,140,8/27/2024 23:18,error,33,2.954933546,3,FALSE,healthcare,"Williamborough, Gibraltar",premium
